Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","068","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","442","A","Official figure"
"PP","Producer Prices","068","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","2585.6","A","Official figure"
"PP","Producer Prices","068","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","2589.2","A","Official figure"
"PP","Producer Prices","068","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","2749.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","366.3","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","377.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","344.3","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","437.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","490.7","A","Official figure"
"PP","Producer Prices","152","Chile","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","2446.8","A","Official figure"
"PP","Producer Prices","152","Chile","5532","Producer Price (USD/tonne)","01311","Avocados","2016","2016","7021","Annual value","USD","2466","A","Official figure"
"PP","Producer Prices","152","Chile","5532","Producer Price (USD/tonne)","01311","Avocados","2017","2017","7021","Annual value","USD","2463.2","A","Official figure"
"PP","Producer Prices","152","Chile","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","3245.9","A","Official figure"
"PP","Producer Prices","152","Chile","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","2985.7","A","Official figure"
"PP","Producer Prices","152","Chile","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","3663.9","A","Official figure"
"PP","Producer Prices","152","Chile","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","4433.4","A","Official figure"
"PP","Producer Prices","152","Chile","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","2550.7","A","Official figure"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","567.5","A","Official figure"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01311","Avocados","2016","2016","7021","Annual value","USD","513.3","A","Official figure"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","1487.4","A","Official figure"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","1437.1","A","Official figure"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","1264.8","A","Official figure"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","1416.7","A","Official figure"
"PP","Producer Prices","170","Colombia","5532","Producer Price (USD/tonne)","01311","Avocados","2022","2022","7021","Annual value","USD","1531.5","A","Official figure"
"PP","Producer Prices","214","Dominican Republic","5532","Producer Price (USD/tonne)","01311","Avocados","2015","2015","7021","Annual value","USD","439.3","A","Official figure"
"PP","Producer Prices","214","Dominican Republic","5532","Producer Price (USD/tonne)","01311","Avocados","2016","2016","7021","Annual value","USD","378.1","A","Official figure"
"PP","Producer Prices","214","Dominican Republic","5532","Producer Price (USD/tonne)","01311","Avocados","2017","2017","7021","Annual value","USD","492.6","A","Official figure"
"PP","Producer Prices","214","Dominican Republic","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","390","A","Official figure"
"PP","Producer Prices","214","Dominican Republic","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","388.4","A","Official figure"
"PP","Producer Prices","214","Dominican Republic","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","239.9","A","Official figure"
"PP","Producer Prices","214","Dominican Republic","5532","Producer Price (USD/tonne)","01311","Avocados","2021","2021","7021","Annual value","USD","427.2","A","Official figure"
